Description,revenue_per_product,Revenue Percentage per Product
SET/5 RED RETROSPOT LID GLASS BOWLS,16236.279999999999,0.1961254080401129
PACK OF 72 RETROSPOT CAKE CASES,16235.3,0.1961135701745501
LUNCH BAG PINK POLKADOT,16067.1,0.1940818059014317
MINI PAINT SET VINTAGE ,15911.84,0.19220634977156034
ROUND SNACK BOXES SET OF 4 FRUITS ,15883.99,0.1918699369593942
HAND WARMER OWL DESIGN,15855.68,0.19152796759808632
RETROSPOT HEART HOT WATER BOTTLE,15728.18,0.1899878371294621
LUNCH BAG SPACEBOY DESIGN ,15577.8,0.18817132873831138
ASSORTED COLOURS SILK FAN,15538.76,0.18769974682854598
RED RETROSPOT CAKE STAND,15449.25,0.1866185148422985
HOME BUILDING BLOCK WORD,15439.460000000001,0.18650025698121747
HAND OVER THE CHOCOLATE   SIGN ,15349.289999999999,0.18541105255489707
HOT WATER BOTTLE TEA AND SYMPATHY,15255.97,0.1842837978464107
LUNCH BAG SUKI DESIGN ,15132.0,0.1827863078527217
JUMBO BAG SPACEBOY DESIGN,15105.61,0.18246753104435312
JUMBO BAG WOODLAND ANIMALS,15085.14,0.1822202646075473
6 RIBBONS RUSTIC CHARM,14913.74,0.1801498460795301
ANTIQUE SILVER T-LIGHT GLASS,14827.21,0.1791046108681571
EDWARDIAN PARASOL BLACK,14566.17,0.17595139002478716
IVORY KITCHEN SCALES,14501.03,0.17516453434850338
LUNCH BAG WOODLAND,14362.61,0.17349249623503693
PINK REGENCY TEACUP AND SAUCER,14275.79,0.17244375798181377
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14147.15,0.1708898569348818
SET OF 4 PANTRY JELLY MOULDS,14066.42,0.1699146825605129
CHILDRENS CUTLERY POLKADOT PINK,13773.300000000001,0.16637395281178244
SMALL POPCORN HOLDER,13752.23,0.1661194387021831
DOORMAT ENGLISH ROSE ,13399.4,0.16185744471595023
WOOD 2 DRAWER CABINET WHITE FINISH,13347.87,0.16123499041753295
COLOUR GLASS. STAR T-LIGHT HOLDER,13320.18,0.16090051031811173
WORLD WAR 2 GLIDERS ASSTD DESIGNS,13304.49,0.16071098367456102
PAPER CHAIN KIT EMPIRE,13290.6,0.16054320004939088
RED WOOLLY HOTTIE WHITE HEART.,13234.81,0.15986928727413952
LOVE HOT WATER BOTTLE,12901.2,0.15583946040639263
VINTAGE CHRISTMAS BUNTING,12895.77,0.15577386896761122
BOX OF VINTAGE ALPHABET BLOCKS,12884.31,0.15563543841725486
JUMBO BAG PEARS,12791.29,0.15451180754516525
SET OF 10 LED DOLLY LIGHTS,12655.130000000001,0.15286706899922112
HOT BATHS METAL SIGN,12597.88,0.15217552022017217
CLOTHES PEGS RETROSPOT PACK 24 ,12458.63,0.15049345615934137
HANGING HEART JAR T-LIGHT HOLDER,12444.38,0.15032132393049516
BREAD BIN DINER STYLE IVORY,12435.039999999999,0.15020850182400927
MEMO BOARD RETROSPOT  DESIGN,12377.07,0.1495082558376081
GARDENERS KNEELING PAD KEEP CALM ,12294.88,0.14851544545944162
BLACK HEART CARD HOLDER,12254.0,0.1480216373531094
HOT WATER BOTTLE I AM SO POORLY,12209.43,0.147483256059097
RED RETROSPOT MINI CASES,12161.15,0.1469000599883113
PLASTERS IN TIN SPACEBOY,12090.75,0.1460496663805376
GREY HEART HOT WATER BOTTLE,12044.65,0.1454928035209017
ASSORTED COLOUR MINI CASES,12043.91,0.14548386472445632
HAND WARMER SCOTTY DOG DESIGN,12020.76,0.1452042253491728
DOORMAT SPOTTY HOME SWEET HOME,12006.42,0.14503100596940752
HAND WARMER BIRD DESIGN,11953.33,0.14438970772172705
DOTCOM POSTAGE,11906.36,0.14382233573654055
PAPER CHAIN KIT RETROSPOT,11796.66,0.1424972195607909
RECYCLING BAG RETROSPOT ,11790.38,0.14242136058555196
SET/4 WHITE RETRO STORAGE CUBES ,11758.9,0.142041099352985
CHRISTMAS LIGHTS 10 REINDEER,11703.75,0.14137491742871341
SET 7 BABUSHKA NESTING BOXES,11687.789999999999,0.14118212933240562
RED KITCHEN SCALES,11638.18,0.14058286758692762
PLASTERS IN TIN WOODLAND ANIMALS,11573.08,0.13979649508883005
PACK OF 60 PINK PAISLEY CAKE CASES,11555.449999999999,0.13958353430324694
PINK HAPPY BIRTHDAY BUNTING,11542.25,0.1394240855017894
DOUGHNUT LIP GLOSS ,11540.7,0.1394053623470728
WOODEN ROUNDERS GARDEN SET ,11524.44,0.13920895041436823
DOORMAT WELCOME PUPPIES,11496.2,0.13886782661488628
LOVE BUILDING BLOCK WORD,11374.91,0.137402709559675
LUNCH BAG ALPHABET DESIGN,11334.81,0.1369183234279744
3 HOOK PHOTO SHELF ANTIQUE WHITE,11300.73,0.1365066556133021
REGENCY SUGAR BOWL GREEN,11222.04,0.13555612332643122
FELTCRAFT CUSHION OWL,11216.14,0.13548485454396153
ENAMEL FLOWER JUG CREAM,11183.18,0.13508671571850384
WOOD S/3 CABINET ANT WHITE FINISH,11093.449999999999,0.13400282625223203
JUMBO STORAGE BAG SKULLS,10859.59,0.13117792498640882
RED DINER WALL CLOCK,10855.94,0.13113383497691486
FAIRY CAKE FLANNEL ASSORTED COLOUR,10700.15,0.12925197673607586
METAL SIGN TAKE IT OR LEAVE IT ,10585.35,0.12786525534158127
STRAWBERRY CERAMIC TRINKET BOX,10468.52,0.12645401265413522
FELTCRAFT 6 FLOWER FRIENDS,10391.289999999999,0.12552111637106186
VINTAGE SNAP CARDS,10369.22,0.12525452280680666
LUNCH BAG DOILEY PATTERN ,10316.45,0.1246170899846161
LUNCH BAG DOLLY GIRL DESIGN,10304.59,0.12447382765239738
LUNCH BAG VINTAGE DOILY ,10288.46,0.1242789860487981
PINK BLUE FELT CRAFT TRINKET BOX,10214.38,0.12338414004789076
RED RETROSPOT PICNIC BAG,10208.66,0.12331504556725918
RED RETROSPOT UMBRELLA,10205.82,0.12328073991603647
ALARM CLOCK BAKELIKE IVORY,10105.61,0.12207025776497112
BAKING SET SPACEBOY DESIGN,10068.74,0.12162488827180895
PAPER BUNTING WHITE LACE,10019.6,0.12103130387001919
BLUE HAPPY BIRTHDAY BUNTING,9981.82,0.12057494207312017
RED RETROSPOT CHARLOTTE BAG,9952.14,0.12021642385893375
TRADITIONAL WOODEN SKIPPING ROPE,9942.75,0.12010299777971507
SOLDIERS EGG CUP ,9937.439999999999,0.12003885587549236
PICNIC BASKET WICKER LARGE,9925.8,0.11989825102329797
WOODEN UNION JACK BUNTING,9905.03,0.11964736075009542
CLASSIC METAL BIRDCAGE PLANT HOLDER,9875.96,0.11929621100324908
LUNCH BAG VINTAGE LEAF DESIGN,9840.5,0.11886787354115172
FELTCRAFT CUSHION RABBIT,9839.960000000001,0.11886135063563755
CHILDRENS CUTLERY POLKADOT BLUE,9804.35,0.11843120125534178
DOORMAT BLACK FLOCK ,9764.75,0.11795285485096908
GARDENERS KNEELING PAD CUP OF TEA ,9702.09,0.11719595622223186
SET/20 RED RETROSPOT PAPER NAPKINS ,9635.539999999999,0.11639206851488328
ICE CREAM SUNDAE LIP GLOSS,9603.16,0.11600093577312601
CHILDRENS CUTLERY RETROSPOT RED ,9581.18,0.11573542935978985
WHITE SKULL HOT WATER BOTTLE ,9579.54,0.11571561905415423
DOORMAT HOME SWEET HOME BLUE ,9571.69,0.1156207953351056
LONDON BUS COFFEE MUG,9548.55,0.11534127675436859
COLOUR GLASS T-LIGHT HOLDER HANGING,9524.26,0.11504786680077736
NO SINGING METAL SIGN,9498.2,0.11473307621244523
PLASTERS IN TIN CIRCUS PARADE ,9479.81,0.11451093504132365
HAND WARMER UNION JACK,9462.36,0.11430014855757863
WOODEN CROQUET GARDEN SET,9458.98,0.11425932000084175
DOORMAT WELCOME TO OUR HOME,9427.73,0.11388183704284562
PLASTERS IN TIN STRONGMAN,9409.49,0.11366150778992243
TRADITIONAL MODELLING CLAY,9280.41,0.1121022917829419
SET/3 RED GINGHAM ROSE STORAGE BOX,9257.79,0.11182905451862599
KNITTED UNION FLAG HOT WATER BOTTLE,9255.17,0.11179740634742759
JUMBO BAG VINTAGE CHRISTMAS ,9236.42,0.11157091657262991
ANTIQUE SILVER TEA GLASS ENGRAVED,9233.55,0.11153624853776753
TRADITIONAL KNITTING NANCY,9229.82,0.11149119217190111
BREAD BIN DINER STYLE RED ,9197.56,0.11110150896470254
BLUE HARMONICA IN BOX ,9173.88,0.11081546747845138
PHOTO FRAME CORNICE,9156.33,0.11060347304924076
SET OF 4 KNICK KNACK TINS DOILY ,9125.65,0.11023287538039846
REGENCY TEA PLATE ROSES ,9124.69,0.11022127910392883
RED RETROSPOT ROUND CAKE TINS,9088.75,0.10978714350359663
15CM CHRISTMAS GLASS BALL 20 LIGHTS,9066.75,0.10952139550116735
REGENCY TEA PLATE GREEN ,9038.65,0.10918196282533722
EDWARDIAN PARASOL RED,9002.32,0.10874311623768923
FELTCRAFT CUSHION BUTTERFLY,8974.6,0.10840827375462835
FAWN BLUE HOT WATER BOTTLE,8956.45,0.1081890316526242
PANTRY ROLLING PIN,8907.92,0.1076028157181745
IVORY DINER WALL CLOCK,8874.0,0.10719308061624719
REGENCY MILK JUG PINK ,8769.5,0.10593077760470809
STRAWBERRY LUNCH BOX WITH CUTLERY,8686.64,0.10492987399192218
LADIES & GENTLEMEN METAL SIGN,8684.28,0.1049013664789343
WOODEN SCHOOL COLOURING SET,8659.62,0.10460348712712039
SET OF 20 KIDS COOKIE CUTTERS,8648.97,0.1044748409350353
GINGERBREAD MAN COOKIE CUTTER,8608.88,0.10399057559788122
PINK CREAM FELT CRAFT TRINKET BOX ,8587.24,0.10372917619912805
SET OF 6 SOLDIER SKITTLES,8556.25,0.10335483389934245
60 TEATIME FAIRY CAKE CASES,8522.119999999999,0.10294256211193739
AREA PATROLLED METAL SIGN,8508.119999999999,0.1027734497467551
HAND WARMER RED RETROSPOT,8479.57,0.10242858131632984
VINTAGE HEADS AND TAILS CARD GAME ,8455.16,0.10213372182817991
POTTERING IN THE SHED METAL SIGN,8364.64,0.10104028959272997
"RECORD FRAME 7"" SINGLE SIZE ",8357.07,0.10094884812098498
VINTAGE DOILY JUMBO BAG RED ,8285.54,0.10008480472945015
JUMBO BAG PAISLEY PARK,8273.28,0.09993671061536913
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8251.62,0.09967506962752283
FELTCRAFT DOLL MOLLY,8235.59,0.09948143596938913
SET 2 PANTRY DESIGN TEA TOWELS,8232.17,0.09944012423446602
SET OF 3 NOTEBOOKS IN PARCEL,8227.65,0.09938552509942146
MULTI COLOUR SILVER T-LIGHT HOLDER,8172.55,0.09871994714788267
FAMILY ALBUM WHITE PICTURE FRAME,8165.89,0.09863949797987454
ENAMEL BREAD BIN CREAM,8150.9,0.09845842695458294
T-LIGHT GLASS FLUTED ANTIQUE,8096.139999999999,0.09779695601762714
HANGING JAM JAR T-LIGHT HOLDER,8060.79,0.09736994729554192
FELTCRAFT PRINCESS CHARLOTTE DOLL,8022.76,0.09691056563497896
DOORMAT MULTICOLOUR STRIPE,8021.12,0.09689075532934331
ICE CREAM PEN LIP GLOSS ,8017.31,0.09684473260710443
SET 6 PAPER TABLE LANTERN HEARTS ,8007.5199999999995,0.09672647474602339
BOX OF 6 MINI VINTAGE CRACKERS,7976.72,0.0963544275426224
LARGE WHITE HEART OF WICKER,7967.65,0.0962448668888936
SET OF 6 RIBBONS VINTAGE CHRISTMAS,7953.57,0.09607478816733886
3 HEARTS HANGING DECORATION RUSTIC,7941.96,0.09593454569878414
BOX OF 6 MINI 50'S CRACKERS,7924.51,0.0957237592150391
ALARM CLOCK BAKELIKE ORANGE,7868.49,0.0950470681652169
RED METAL BOX TOP SECRET,7830.03,0.09458249233915189
SET OF 72 RETROSPOT PAPER  DOILIES,7769.37,0.09384975261972643
REVOLVER WOODEN RULER ,7762.74,0.09376966583535797
TRAVEL SEWING KIT,7754.36,0.09366844000534172
SET/10 RED POLKADOT PARTY CANDLES,7734.18,0.09342467661038614
SWEETHEART CAKESTAND 3 TIER,7723.599999999999,0.09329687598012695
GRAND CHOCOLATECANDLE,7722.7,0.09328600447093667
RECIPE BOX RETROSPOT ,7671.5,0.0926675363925558
JUMBO BAG TOYS ,7648.97,0.09239538627915891
SET OF 3 HEART COOKIE CUTTERS,7629.34,0.09215826658426406
CHILDRENS CUTLERY SPACEBOY ,7628.08,0.09214304647139765
FELTCRAFT CHRISTMAS FAIRY,7580.68,0.09157048032070912
HAND WARMER RED LOVE HEART,7574.099999999999,0.09149099750907344
ZINC FOLKART SLEIGH BELLS,7510.14,0.09071839558928359
SET 6 SCHOOL MILK BOTTLES IN CRATE,7465.65,0.09018098065164365
PAINTED METAL PEARS ASSORTED,7439.01,0.08985918397961111
BLUE DINER WALL CLOCK,7360.63,0.08891239632368352
PICNIC BASKET WICKER SMALL,7343.6,0.08870668321089394
PLASTERS IN TIN VINTAGE PAISLEY ,7287.29,0.08802648911922153
FAMILY PHOTO FRAME CORNICE,7281.59,0.08795763622768303
OPEN CLOSED METAL SIGN,7266.81,0.08777910188786918
60 CAKE CASES VINTAGE CHRISTMAS,7264.8,0.08775482218401087
PACK OF 12 LONDON TISSUES ,7253.61,0.0876196530864116
FELTCRAFT BUTTERFLY HEARTS,7205.099999999999,0.08703367874105505
WOODLAND CHARLOTTE BAG,7174.54,0.08666453060677147
WOODEN BOX OF DOMINOES,7168.45,0.08659096672791718
 SET 2 TEA TOWELS I LOVE LONDON ,7165.55,0.08655593630941515
CHOCOLATE THIS WAY METAL SIGN,7149.72,0.08636471854221262
SMALL GLASS HEART TRINKET POT,7129.81,0.08612421660001411
PACK OF 6 BIRDY GIFT TAGS,7079.7,0.08551891512720815
FELTCRAFT PRINCESS LOLA DOLL,7073.19,0.08544027787739839
3 TIER CAKE TIN RED AND CREAM,7066.18,0.0853556009002607
ZINC METAL HEART DECORATION,7056.18,0.08523480635370194
SET OF 4 KNICK KNACK TINS LONDON ,7051.05,0.0851728387513173
SET OF 4 KNICK KNACK TINS DOILEY ,7037.65,0.08501097405892855
CHRISTMAS CRAFT LITTLE FRIENDS,7016.8,0.08475911742935353
CHARLOTTE BAG SUKI DESIGN,7001.26,0.08457140270400121
SWEETHEART RECIPE BOOK STAND,6999.45,0.08454953889107407
FUNKY DIVA PEN,6967.589999999999,0.08416468746573784
CREAM CUPID HEARTS COAT HANGER,6958.7300000000005,0.08405766349748679
 SPACEBOY BABY GIFT SET,6946.85,0.08391415957617498
RED SPOTTY BISCUIT TIN,6905.95,0.08342010988074963
GIANT 50'S CHRISTMAS CRACKER,6869.95,0.08298524951313807
PACK OF 72 SKULL CAKE CASES,6829.0599999999995,0.08249132061225929
HANGING HEART ZINC T-LIGHT HOLDER,6788.29,0.0819988412459392
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6765.67,0.08172560398162328
SILVER HANGING T-LIGHT HOLDER,6761.1,0.08167040087384593
JINGLE BELL HEART ANTIQUE SILVER,6741.0,0.0814276038352628
TEA TIME PARTY BUNTING,6737.450000000001,0.08138472177123446
SMALL WHITE HEART OF WICKER,6733.75,0.08134002778900772
VINTAGE DOILY TRAVEL SEWING KIT,6724.8,0.08123191666983762
YOU'RE CONFUSING ME METAL SIGN ,6714.76,0.08111063894509261
SWEETHEART CERAMIC TRINKET BOX,6676.53,0.08064884139359846
DOORMAT 3 SMILEY CATS,6674.9,0.08062915188250938
LUNCH BOX WITH CUTLERY RETROSPOT ,6664.24,0.08050038489587774
CARRIAGE,6636.0,0.08015926109639579
SET 40 HEART SHAPE PETIT FOUR CASES,6634.1,0.08013631013254963
RETROSPOT PARTY BAG + STICKER SET,6633.73,0.08013184073432694
SET OF 3 BUTTERFLY COOKIE CUTTERS,6627.25,0.08005356586815687
DOORMAT UNION JACK GUNS AND ROSES,6619.41,0.0799588629436548
36 DOILIES VINTAGE CHRISTMAS,6592.599999999999,0.07963501276433076
TRIPLE PHOTO FRAME CORNICE ,6584.58,0.07953813553799062
CHILDRENS CUTLERY POLKADOT GREEN ,6549.11,0.07910967728134669
RAIN PONCHO RETROSPOT,6542.08,0.07902475871511587
WHITE WOOD GARDEN PLANT LADDER,6536.0599999999995,0.0789520403980875
HEART FILIGREE DOVE  SMALL,6532.32,0.07890686323767453
VINTAGE CREAM DOG FOOD CONTAINER,6526.05,0.07883112505698218
SET 6 PAPER TABLE LANTERN STARS ,6521.71,0.07877870022377569
CHILDRENS APRON SPACEBOY DESIGN,6492.54,0.07842634253146377
NATURAL SLATE CHALKBOARD LARGE ,6486.599999999999,0.07835459057080785
MINT KITCHEN SCALES,6457.08,0.07799800506936638
CHILDRENS CUTLERY DOLLY GIRL ,6442.55,0.0778224905932165
SET OF 12 FAIRY CAKE BAKING CASES,6430.44,0.07767620839733383
ROUND CAKE TIN VINTAGE RED,6418.88,0.0775365699015119
DOLLY GIRL BABY GIFT SET,6415.400000000001,0.07749453339930946
LARGE ZINC HEART WALL ORGANISER,6414.48,0.07748342030102605
VINTAGE RED KITCHEN CABINET,6394.5,0.07724207279700164
BEWARE OF THE CAT METAL SIGN ,6381.65,0.07708685180467362
ALARM CLOCK BAKELIKE CHOCOLATE,6379.26,0.07705798190804608
ROSE COTTAGE KEEPSAKE BOX ,6376.15,0.07702041480406631
VICTORIAN SEWING BOX SMALL ,6333.96,0.07651078261213488
BLACK/BLUE POLKADOT UMBRELLA,6326.29,0.07641813319492431
SET OF 20 VINTAGE CHRISTMAS NAPKINS,6325.72,0.07641124790577047
PLASTERS IN TIN SKULLS,6322.65,0.07637416397997693
SET/10 PINK POLKADOT PARTY CANDLES,6284.83,0.07591731900489167
CHILDS BREAKFAST SET SPACEBOY ,6270.15,0.0757399926105434
MEMO BOARD COTTAGE DESIGN,6261.64,0.0756371964514219
PICTURE FRAME WOOD TRIPLE PORTRAIT,6259.5,0.07561134641845832
SET/2 RED RETROSPOT TEA TOWELS ,6257.01,0.0755812685763652
LANDMARK FRAME CAMDEN TOWN ,6244.85,0.07543438240774974
RED FLORAL FELTCRAFT SHOULDER BAG,6234.900000000001,0.07531419183392377
72 SWEETHEART FAIRY CAKE CASES,6190.21,0.07477436100535265
TOY TIDY PINK POLKADOT,6168.93,0.0745173102102756
PIGGY BANK RETROSPOT ,6162.17,0.07443565309680188
BLUE STRIPE CERAMIC DRAWER KNOB,6124.39,0.07397929129990287
VINTAGE DONKEY TAIL GAME ,6106.0,0.0737571501287813
BOX OF 6 CHRISTMAS CAKE DECORATIONS,6091.29,0.07357946135079337
WALL ART CLASSIC PUDDINGS ,6076.99,0.07340672514921433
RED STRIPE CERAMIC DRAWER KNOB,6074.86,0.0733809959107973
RETROSPOT LARGE MILK JUG,6069.75,0.07331926989750577
MINI LIGHTS WOODLAND MUSHROOMS,6050.49,0.0730866196008336
CIRCUS PARADE LUNCH BOX ,6050.48,0.07308649880628704
TEA TIME TEA TOWELS ,6045.0,0.07302030339477285
AGED GLASS SILVER T-LIGHT HOLDER,6038.35,0.07293997502131128
JINGLE BELL HEART DECORATION,6009.75,0.0725945026181532
METAL 4 HOOK HANGER FRENCH CHATEAU,5987.62,0.07232718428661865
JUMBO BAG DOLLY GIRL DESIGN,5984.88,0.07229408658086155
4 TRADITIONAL SPINNING TOPS,5949.929999999999,0.07187190964063866
COFFEE MUG APPLES DESIGN,5937.7,0.0717241779101973
SET OF 60 PANTRY DESIGN CAKE CASES ,5925.99,0.07158272749617699
SET 3 WICKER OVAL BASKETS W LIDS,5922.12,0.07153598000665874
WOODEN HAPPY BIRTHDAY GARLAND,5898.349999999999,0.07124885136948857
LARGE CIRCULAR MIRROR MOBILE,5887.849999999999,0.07112201709560186
PACK OF 60 DINOSAUR CAKE CASES,5883.219999999999,0.07106608922054515
DOORSTOP RETROSPOT HEART,5836.96,0.07050729364816431
SET OF 2 TEA TOWELS APPLE AND PEARS,5821.89,0.07032525626650026
HAND WARMER BABUSHKA DESIGN,5812.38,0.07021038065272288
PINK FAIRY CAKE CHILDRENS APRON,5811.66,0.07020168344537064
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5803.48,0.07010287350628557
BROCADE RING PURSE ,5796.8099999999995,0.07002230354373087
3 DRAWER ANTIQUE WHITE WOOD CABINET,5787.98,0.06991564195911948
DELUXE SEWING KIT ,5775.320000000001,0.06976271606317609
RED RETROSPOT SMALL MILK JUG,5724.0,0.06914279845023652
ENGLISH ROSE HOT WATER BOTTLE,5716.91,0.06905715511672635
CANDLEHOLDER PINK HANGING HEART,5703.93,0.06890036379529309
LOVE SEAT ANTIQUE WHITE METAL,5692.5,0.0687622956285764
BINGO SET,5691.96,0.06875577272306224
SOMBRERO ,5691.5,0.06875021617392053
UNION STRIPE WITH FRINGE  HAMMOCK,5674.14,0.06854051684109452
PANTRY WASHING UP BRUSH,5668.16,0.06846828170225237
WOODEN OWLS LIGHT GARLAND ,5662.35,0.06839810007070174
SINGLE HEART ZINC T-LIGHT HOLDER,5652.13,0.06827464804411867
SET OF 6 TEA TIME BAKING CASES,5650.900000000001,0.06825979031489196
GIRAFFE WOODEN RULER,5642.639999999999,0.0681600140194344
BISCUIT TIN 50'S CHRISTMAS,5641.9800000000005,0.06815204157936154
REGENCY TEA PLATE PINK,5638.98,0.0681158032153939
CHARLOTTE BAG PINK POLKADOT,5636.56,0.06808657093512668
CHICK GREY HOT WATER BOTTLE,5622.67,0.06791878730995655
PLACE SETTING WHITE HEART,5590.2300000000005,0.06752692980091994
SET OF 2 WOODEN MARKET CRATES,5576.4,0.06735987094302914
QUEENS GUARD COFFEE MUG,5565.92,0.06723327825823558
HOME SWEET HOME MUG,5564.24,0.0672129847744137
WHITE METAL LANTERN,5554.51,0.06709545168061203
SET OF 72 PINK HEART PAPER DOILIES,5546.38,0.06699724571425976
VINTAGE CHRISTMAS STOCKING ,5541.3,0.0669358820846079
VINTAGE CHRISTMAS GIFT SACK,5518.85,0.06666469832758348
RETROSPOT CHILDRENS APRON,5509.87,0.0665562248247737
VINTAGE SNAKES & LADDERS,5508.53,0.06654003835553482
WHITE SPOT RED CERAMIC DRAWER KNOB,5500.59,0.06644412748556718
SET/6 RED SPOTTY PAPER PLATES,5496.53,0.06639508489966431
